schemaname,table_name,blocks_read,write_tuples,blocks_write,activity_ratio
public,price_book_entries,18,25,0.539568345323741,1:33.4 (Read-Heavy)
public,checklist_item_assignees,18,1,0.0208333333333333,1:864.0 (Read-Heavy)
storage,objects,18,2,-0,Read-Only
public,user_time_off,18,3,-0,Read-Only
public,supply_houses,18,1,-0,Read-Only
public,hours_days_correct,17,16,0.551724137931034,1:30.8 (Read-Heavy)
public,people_labor_job_payments,17,6,-0,Read-Only
public,jobs_ledger_materials,17,2,-0,Read-Only
public,people_team_members,17,14,-0,Read-Only
public,people_labor_jobs,17,17,-0,Read-Only
public,people_labor_job_items,17,24,-0,Read-Only
public,stripe_webhook_events,15,62,1.85074626865672,1:8.1 (Read-Heavy)
public,users,16,4,0.19047619047619,1:84.0 (Read-Heavy)
public,bid_working_board_placements,16,1,0.0666666666666667,1:240.0 (Read-Heavy)
public,mercury_tally_transaction_notes,16,7,-0,Read-Only
public,price_book_versions,15,2,0.5,1:30.0 (Read-Heavy)
public,user_daily_goals_ack,14,58,0.502164502164502,1:27.9 (Read-Heavy)
public,people_cost_matrix_tags,14,3,0.15,1:93.3 (Read-Heavy)
public,person_contract_assignments,14,1,-0,Read-Only
public,recurring_job_report_dispatch_log,14,13,-0,Read-Only
public,mercury_accounting_label_rules,10,86,3.82222222222222,0.4:1 (Write-Heavy)
public,report_reads,12,3,0.15,1:80.0 (Read-Heavy)
public,contract_templates,9,1,-0,Read-Only
cron,job,9,1,-0,Read-Only
public,estimator_requests,9,1,-0,Read-Only
public,contract_template_documents,9,1,-0,Read-Only
public,people_teams,7,11,-0,Read-Only
public,mercury_transaction_org_notes,6,6,-0,Read-Only
public,jobs_ledger_invoice_stripe_email_sends,5,1,-0,Read-Only
public,bid_count_row_submission_hides,2,18,-0,Read-Only
public,quickfill_difficult_people_daily_checks,2,6,-0,Read-Only
public,quickfill_office_arriving_daily_checks,2,9,-0,Read-Only
public,quickfill_difficult_people_items,1,2,-0,Read-Only
