name,size,percent_used,index_scans,seq_scans,unused
public.checklist_instance_assignees_pkey,288 kB,100%,9011643,0,f
public.checklist_instances_checklist_item_id_scheduled_date_key,264 kB,100%,4725,0,f
public.cost_estimate_labor_rows_cost_estimate_id_fixture_key,248 kB,0%,0,0,t
public.mercury_transactions_account_posted_idx,248 kB,0%,0,0,t
public.bid_count_row_custom_prices_bid_id_count_row_id_price_book__key,184 kB,100%,147,0,f
public.checklist_instances_pkey,176 kB,100%,1155306,0,f
public.mercury_transactions_mercury_id_key,176 kB,100%,3882,0,f
public.mercury_transactions_pkey,176 kB,100%,193863,0,f
public.bids_count_rows_pkey,168 kB,100%,957,0,f
public.cost_estimate_labor_rows_pkey,168 kB,100%,276,0,f
public.idx_price_history_changed_at,160 kB,0%,0,0,t
public.mercury_transactions_posted_at_desc_idx,152 kB,100%,3857,0,f
public.bid_pricing_assignments_bid_id_count_row_id_version_key,136 kB,100%,1117,0,f
public.material_part_prices_part_id_supply_house_id_key,128 kB,0%,0,0,t
public.job_status_events_pkey,88 kB,0%,0,0,t
public.bid_count_row_custom_prices_pkey,88 kB,100%,125,0,f
public.mercury_accounting_label_suggestions_pkey,88 kB,100%,182,0,f
public.idx_material_parts_name,88 kB,0%,0,0,t
public.material_part_price_history_pkey,88 kB,0%,0,0,t
public.mercury_transaction_drag_sort_assignments_pkey,88 kB,100%,50798,0,f
public.mercury_transaction_attributions_pkey,88 kB,100%,145804,0,f
public.material_part_prices_pkey,88 kB,100%,3,0,f
public.idx_material_part_prices_price,88 kB,100%,11604,0,f
public.mercury_accounting_label_suggestions_mercury_tx_idx,88 kB,0%,0,0,t
public.idx_material_parts_service_type_name,80 kB,100%,19,0,f
public.idx_bid_pricing_assignments_count_row_id,80 kB,100%,143,0,f
public.jobs_ledger_team_members_job_id_user_id_key,72 kB,100%,250,0,f
public.pay_stub_days_pay_stub_id_work_date_key,72 kB,100%,6,0,f
public.mercury_transaction_job_allocations_tx_job_unique,72 kB,100%,28985,0,f
public.bid_pricing_assignments_pkey,72 kB,100%,134,0,f
public.people_crew_jobs_pkey,64 kB,100%,391,0,f
public.idx_clock_sessions_job_ledger_active_clocked_in,64 kB,100%,28486,0,f
public.idx_job_status_events_changed_at,64 kB,0%,0,0,t
public.people_hours_pkey,56 kB,100%,408,0,f
public.jobs_ledger_pkey,56 kB,100%,1654425,0,f
public.idx_clock_sessions_user_date,56 kB,100%,110619,0,f
public.clock_sessions_pkey,56 kB,100%,14268,0,f
public.idx_pay_stub_days_person_date,56 kB,100%,2,0,f
public.idx_bids_count_rows_bid_id,56 kB,100%,4389,0,f
public.idx_price_history_part_id,56 kB,0%,0,0,t
public.idx_jobs_ledger_fixtures_job_id,56 kB,100%,5191,0,f
public.idx_jobs_ledger_team_members_job_id,56 kB,100%,257114,0,f
public.idx_job_schedule_blocks_assignee_work_date,56 kB,100%,4409,0,f
public.address_geocodes_pkey,56 kB,100%,110,0,f
public.idx_people_hours_person_date,56 kB,100%,2203,0,f
public.idx_job_status_events_job_id,56 kB,100%,13,0,f
public.pay_stub_days_pkey,56 kB,0%,0,0,t
public.mercury_transaction_job_allocations_pkey,56 kB,100%,6,0,f
public.jobs_ledger_fixtures_pkey,56 kB,0%,0,0,t
public.jobs_ledger_team_members_pkey,56 kB,0%,0,0,t
public.idx_material_part_prices_part_id,56 kB,100%,55,0,f
public.material_parts_pkey,56 kB,100%,16423,0,f
public.mercury_transaction_job_allocations_mercury_transaction_id_idx,56 kB,100%,453579,0,f
public.people_hours_person_name_work_date_key,56 kB,100%,341,0,f
public.mercury_accounting_label_suggestions_status_idx,48 kB,100%,1965,0,f
public.idx_jobs_ledger_hcp_number,48 kB,100%,1754,0,f
public.job_schedule_blocks_pkey,48 kB,100%,38,0,f
public.idx_cost_estimate_labor_rows_estimate_id,48 kB,100%,1374,0,f
public.idx_price_history_supply_house_id,48 kB,0%,0,0,t
public.idx_notification_history_recipient_sent,40 kB,100%,116,0,f
public.idx_jobs_ledger_job_name,40 kB,100%,20,0,f
public.user_app_activity_daily_pkey,40 kB,100%,13302,0,f
public.dispatch_request_dismissals_pkey,40 kB,100%,8,0,f
public.idx_bid_pricing_assignments_bid_id,40 kB,100%,1233,0,f
public.idx_bid_count_row_custom_prices_bid_version,40 kB,100%,2389,0,f
public.mercury_transaction_attributions_user_id_idx,40 kB,0%,0,0,t
public.idx_job_schedule_blocks_job_work_date,40 kB,100%,29907,0,f
public.address_geocodes_geocoded_at_idx,40 kB,0%,0,0,t
public.prospects_pkey,40 kB,100%,4,0,f
public.idx_material_parts_service_type_id,40 kB,100%,12,0,f
public.fixture_types_service_type_id_name_key,40 kB,100%,3,0,f
public.idx_pay_stub_days_pay_stub_id,40 kB,100%,11,0,f
public.user_bid_notes_read_state_pkey,40 kB,100%,2558,0,f
public.mercury_accounting_label_suggestions_rule_id_idx,40 kB,100%,1,0,f
public.idx_bid_pricing_assignments_price_book_entry_id,40 kB,100%,1,0,f
public.mercury_drag_sort_labels_pkey,40 kB,100%,5073,0,f
public.quickfill_section_mark_events_section_marked_at_desc_idx,40 kB,100%,6,0,f
public.prospect_comments_pkey,40 kB,0%,0,0,t
public.idx_job_schedule_blocks_shared_group,40 kB,100%,16,0,f
public.idx_material_parts_part_type_id,32 kB,0%,0,0,t
public.idx_fixture_types_name,32 kB,100%,1299,0,f
public.user_daily_goals_ack_pkey,32 kB,100%,2895,0,f
public.idx_people_hours_work_date,32 kB,100%,17302,0,f
public.quickfill_section_mark_events_pkey,32 kB,0%,0,0,t
public.idx_material_parts_manufacturer,32 kB,0%,0,0,t
public.supply_house_invoice_job_allocations_pkey,32 kB,100%,2709,0,f
public.stripe_webhook_events_pkey,32 kB,0%,0,0,t
public.idx_bid_pricing_assignments_fixed_price,32 kB,0%,0,0,t
public.idx_material_part_prices_supply_house_id,32 kB,0%,0,0,t
public.idx_bid_pricing_assignments_price_book_version_id,32 kB,100%,46,0,f
public.job_collect_payment_flows_pkey,16 kB,0%,0,0,t
public.bid_working_board_columns_user_position_idx,16 kB,100%,2491,0,f
public.notification_templates_pkey,16 kB,0%,0,0,t
public.idx_assembly_types_service_type_id,16 kB,100%,10,0,f
public.users_pkey,16 kB,100%,1311573,0,f
public.idx_master_assistants_master_id,16 kB,100%,575,0,f
public.mercury_tally_transaction_notes_pkey,16 kB,0%,0,0,t
public.idx_user_tag_org_master_user_id,16 kB,0%,0,0,t
public.idx_price_book_versions_name,16 kB,0%,0,0,t
public.inspection_types_pkey,16 kB,0%,0,0,t
public.idx_vehicle_possessions_vehicle_id,16 kB,100%,1,0,f
public.idx_person_licenses_date_of_expiry,16 kB,100%,7,0,f
public.idx_people_master_user_id_kind,16 kB,0%,0,0,t
public.idx_service_types_sequence_order,16 kB,100%,12,0,f
public.idx_labor_book_versions_service_type_id,16 kB,0%,0,0,t
public.idx_prospect_callbacks_callback_date,16 kB,0%,0,0,t
public.idx_jobs_ledger_invoice_stripe_email_sends_invoice_sent,16 kB,100%,16,0,f
public.people_pkey,16 kB,100%,385,0,f
public.quickfill_office_arriving_daily_checks_work_date_idx,16 kB,100%,111,0,f
public.idx_pay_stub_days_person_id,16 kB,100%,1,0,f
public.idx_material_po_generator_entries_job_ledger_id,16 kB,100%,9,0,f
public.push_subscriptions_user_id_endpoint_key,16 kB,100%,3,0,f
public.idx_step_actions_step_id,16 kB,0%,0,0,t
public.bids_takeoff_template_mapping_count_row_id_template_id_stag_key,16 kB,0%,0,0,t
public.idx_project_workflow_steps_status,16 kB,100%,25828,0,f
public.idx_recurring_job_report_dispatch_schedule,16 kB,0%,0,0,t
public.checklist_tech_tree_edges_to_idx,16 kB,0%,0,0,t
public.idx_clock_sessions_pending,16 kB,100%,1,0,f
public.idx_material_templates_service_type_id,16 kB,100%,109,0,f
public.idx_prospect_comments_prospect_id,16 kB,100%,13,0,f
public.workflow_projections_pkey,16 kB,0%,0,0,t
public.bid_working_board_columns_user_position_unique,16 kB,0%,0,0,t
public.idx_prospect_comments_created_at,16 kB,100%,345,0,f
public.people_pay_config_person_id_uniq,16 kB,100%,1,0,f
public.idx_pay_stubs_person_period,16 kB,100%,1,0,f
public.idx_service_types_name,16 kB,0%,0,0,t
public.idx_hours_reviewed_start_date,16 kB,100%,60,0,f
public.bids_pkey,16 kB,100%,850309,0,f
public.idx_estimate_catalog_events_item_edited,16 kB,0%,0,0,t
public.idx_purchase_order_items_sequence_order,16 kB,100%,283,0,f
public.customer_contacts_pkey,16 kB,100%,1,0,f
public.people_crew_bids_pkey,16 kB,100%,103,0,f
public.idx_part_types_sequence_order,16 kB,0%,0,0,t
public.user_pinned_tabs_user_path_tab_key,16 kB,100%,5602,0,f
public.idx_part_types_name,16 kB,0%,0,0,t
public.recurring_job_report_dispatch_schedule_id_recipient_user_id_key,16 kB,100%,13,0,f
public.idx_housing_possessions_dates,16 kB,100%,11,0,f
public.estimates_estimate_number_unique,16 kB,100%,21,0,f
public.pay_approved_masters_pkey,16 kB,0%,0,0,t
public.push_subscriptions_pkey,16 kB,0%,0,0,t
public.idx_purchase_order_items_po_id,16 kB,0%,0,0,t
public.idx_people_team_members_team_id,16 kB,100%,7,0,f
public.idx_housing_possessions_user_id,16 kB,100%,52,0,f
public.idx_jobs_tally_parts_purchase_order_id,16 kB,0%,0,0,t
public.bids_submission_entries_pkey,16 kB,100%,11,0,f
public.checklist_tech_tree_groups_roadmap_id_idx,16 kB,0%,0,0,t
public.jobs_ledger_materials_pkey,16 kB,0%,0,0,t
public.idx_purchase_orders_notes_added_by,16 kB,0%,0,0,t
public.idx_labor_book_entries_version_id,16 kB,100%,16,0,f
public.checklist_tech_tree_group_tasks_group_id_idx,16 kB,100%,1,0,f
public.inspections_pkey,16 kB,0%,0,0,t
public.project_workflows_pkey,16 kB,100%,11242,0,f
public.idx_jobs_ledger_invoices_job_id,16 kB,100%,99685,0,f
public.idx_inspections_project,16 kB,0%,0,0,t
public.customers_stripe_customer_id_key,16 kB,0%,0,0,t
public.supply_houses_pkey,16 kB,100%,25406,0,f
public.checklist_tech_tree_edges_from_group_id_to_group_id_key,16 kB,0%,0,0,t
public.idx_bids_selected_takeoff_book_version_id,16 kB,0%,0,0,t
public.material_templates_pkey,16 kB,100%,324,0,f
public.idx_team_feedback_submissions_manager,16 kB,0%,0,0,t
public.inspection_quick_links_pkey,16 kB,0%,0,0,t
public.idx_team_leader_assignments_member,16 kB,100%,29886,0,f
public.pay_stub_deductions_pkey,16 kB,0%,0,0,t
public.idx_prospects_created_by,16 kB,0%,0,0,t
public.idx_jobs_receivables_master_user_id,16 kB,0%,0,0,t
public.price_book_entries_pkey,16 kB,100%,371,0,f
public.idx_supply_houses_name,16 kB,100%,1492,0,f
public.step_subscriptions_step_id_user_id_key,16 kB,100%,3707,0,f
public.idx_person_license_cost_lines_license_id,16 kB,100%,168,0,f
public.idx_bids_bid_due_date,16 kB,100%,1596,0,f
public.idx_purchase_orders_created_by,16 kB,0%,0,0,t
public.idx_pay_approved_masters_master_id,16 kB,100%,50270405,0,f
public.idx_external_team_job_payments_is_paid,16 kB,0%,0,0,t
public.counts_fixture_group_items_pkey,16 kB,0%,0,0,t
public.idx_material_template_items_part_id,16 kB,0%,0,0,t
public.pay_stubs_pkey,16 kB,100%,383,0,f
public.mercury_accounting_label_rules_enabled_sort_idx,16 kB,0%,0,0,t
public.users_email_key,16 kB,100%,3,0,f
public.idx_team_feedback_submissions_reviewer,16 kB,0%,0,0,t
public.idx_bids_selected_price_book_version_id,16 kB,100%,1,0,f
public.quickfill_difficult_people_daily_checks_pkey,16 kB,100%,2,0,f
public.idx_hours_reviewed_person_id,16 kB,0%,0,0,t
