slot_name,active,state,replication_client_address,replication_lag_gb
supabase_realtime_messages_replication_slot_2_94_0_dc6dcf1,t,streaming,2600:1f10:4c1b:cc00:b78a:7356:72d2:afbe/128,0
supabase_realtime_replication_slot_2_94_0_dc6dcf1,t,N/A,N/A,0
