name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.mercury_transactions,9824 kB,752 kB,10 MB,3182,10002
public.cost_estimate_labor_rows,584 kB,464 kB,1048 kB,3136,1
public.checklist_instances,472 kB,464 kB,936 kB,1,6695
public.person_contract_documents,656 kB,96 kB,752 kB,2,1038
public.bids_count_rows,528 kB,224 kB,752 kB,3354,1
public.material_part_price_history,368 kB,352 kB,720 kB,0,0
public.bid_pricing_assignments,192 kB,432 kB,624 kB,1203,4
public.mercury_accounting_label_suggestions,312 kB,280 kB,592 kB,1639,634
public.material_parts,264 kB,328 kB,592 kB,0,13
public.material_part_prices,200 kB,392 kB,592 kB,0,25
public.job_status_events,376 kB,208 kB,584 kB,81,0
public.checklist_instance_assignees,280 kB,288 kB,568 kB,1,554
public.clock_sessions,280 kB,256 kB,536 kB,1050,118570
public.bid_count_row_custom_prices,224 kB,312 kB,536 kB,1657,0
public.jobs_ledger,264 kB,216 kB,480 kB,644,19352
public.people_hours,240 kB,232 kB,472 kB,1104,2796
public.pay_stub_days,176 kB,240 kB,416 kB,896,2
public.bids,184 kB,192 kB,376 kB,246,10116
public.mercury_transaction_job_allocations,144 kB,200 kB,344 kB,825,3439
public.job_schedule_blocks,136 kB,184 kB,320 kB,615,0
public.jobs_ledger_team_members,112 kB,200 kB,312 kB,834,191
public.mercury_transaction_drag_sort_assignments,224 kB,88 kB,312 kB,1650,12626
public.people_crew_jobs,192 kB,112 kB,304 kB,905,2433
public.mercury_transaction_attributions,152 kB,128 kB,280 kB,1845,0
public.jobs_ledger_fixtures,152 kB,112 kB,264 kB,591,1
public.contract_template_documents,224 kB,32 kB,256 kB,1,0
public.reports,128 kB,96 kB,224 kB,35,1
public.address_geocodes,120 kB,96 kB,216 kB,20,17
public.prospects,136 kB,72 kB,208 kB,29,321
public.mercury_drag_sort_labels,128 kB,72 kB,200 kB,26,1054
public.purchase_order_items,96 kB,96 kB,192 kB,0,1928
public.estimates,104 kB,80 kB,184 kB,0,26
public.fixture_types,64 kB,120 kB,184 kB,22,1
