name,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum,autoanalyze_threshold,expect_autoanalyze
public.workflow_step_line_items,"","","","",            82,             0,            66,no,            58,no
public.workflow_template_steps,"","","","",            13,             0,            53,no,            51,no
public._freeze_crew_lead_bids_backup,"","","","",            -1,             0,            50,no,            50,no
public.assembly_types,"","","","",            -1,             0,            50,no,            50,no
public.attendance_incidents,"","","","",            -1,             0,            50,no,            50,no
public.bid_count_row_submission_hides,"","","","",            -1,             4,            50,no,            50,no
public.bid_estimators_extra_users,"","","","",            -1,             0,            50,no,            50,no
public.bid_working_board_columns,"","","","",            -1,             0,            50,no,            50,no
public.bids_gc_builders,"","","","",            -1,             0,            50,no,            50,no
public.bids_takeoff_template_mappings,"","","","",            -1,             0,            50,no,            50,no
public.checklist_tech_tree_edges,"","","","",            -1,             0,            50,no,            50,no
public.checklist_tech_tree_roadmap_members,"","","","",            -1,             0,            50,no,            50,no
public.checklist_tech_tree_roadmaps,"","","","",            -1,             0,            50,no,            50,no
public.checklist_tech_tree_task_assignees,"","","","",            -1,             0,            50,no,            50,no
public.contract_template_documents,"","","","",            -1,             0,            50,no,            50,no
public.contract_templates,"","","","",            -1,             0,            50,no,            50,no
public.cost_matrix_tag_colors,"","","","",            -1,             0,            50,no,            50,no
public.cost_matrix_teams_shares,"","","","",            -1,             0,            50,no,            50,no
public.counts_fixture_group_items,"","","","",            -1,             0,            50,no,            50,no
public.counts_fixture_groups,"","","","",            -1,             0,            50,no,            50,no
public.customer_contact_persons,"","","","",            -1,             0,            50,no,            50,no
public.customer_contacts,"","","","",            -1,             1,            50,no,            50,no
public.dev_ignored_checklist_items,"","","","",            -1,             0,            50,no,            50,no
public.dev_read_completed_items,"","","","",            -1,             0,            50,no,            50,no
public.dispatch_group_members,"","","","",            -1,             0,            50,no,            50,no
public.dispatch_request_notes,"","","","",            -1,             0,            50,no,            50,no
public.email_templates,"","","","",            -1,             0,            50,no,            50,no
public.estimate_catalog_item_events,"","","","",            -1,             0,            50,no,            50,no
public.estimate_catalog_items,"","","","",            -1,             0,            50,no,            50,no
public.estimate_customer_events,"","","","",            -1,             0,            50,no,            50,no
public.estimates_thread_notes,"","","","",            -1,             0,            50,no,            50,no
public.estimator_group_members,"","","","",            -1,             0,            50,no,            50,no
public.estimator_request_dismissals,"","","","",            -1,             0,            50,no,            50,no
public.estimator_request_notes,"","","","",            -1,             0,            50,no,            50,no
public.estimator_requests,"","","","",            -1,             0,            50,no,            50,no
public.external_team_job_payments,"","","","",            -1,             0,            50,no,            50,no
public.external_team_sub_managers,"","","","",            -1,             0,            50,no,            50,no
public.fixture_labor_defaults,"","","","",            -1,             0,            50,no,            50,no
public.housing_possessions,"","","","",            -1,             0,            50,no,            50,no
public.housing_units,"","","","",            -1,             0,            50,no,            50,no
public.inspection_quick_links,"","","","",            -1,             0,            50,no,            50,no
public.inspection_types,"","","","",            -1,             0,            50,no,            50,no
public.inspections,"","","","",            -1,             0,            50,no,            50,no
public.job_book_entries,"","","","",            -1,             0,            50,no,            50,no
public.job_collect_payment_flows,"","","","",            -1,             0,            50,no,            50,no
public.jobs_ledger_invoice_stripe_email_sends,"","","","",            -1,             0,            50,no,            50,no
public.jobs_ledger_materials,"","","","",            -1,             1,            50,no,            50,no
public.jobs_receivables,"","","","",            -1,             0,            50,no,            50,no
public.labels,"","","","",            -1,             0,            50,no,            50,no
public.master_assistants,"","","","",            -1,             0,            50,no,            50,no
public.master_primaries,"","","","",            -1,             0,            50,no,            50,no
public.master_shares,"","","","",            -1,             0,            50,no,            50,no
public.master_superintendents,"","","","",            -1,             0,            50,no,            50,no
public.material_po_generator_entries,"","","","",            -1,             0,            50,no,            50,no
public.mercury_account_nicknames,"","","","",            -1,             0,            50,no,            50,no
public.mercury_debit_card_user_links,"","","","",            -1,             0,            50,no,            50,no
public.mercury_tally_transaction_notes,"","","","",            -1,             4,            50,no,            50,no
public.mercury_transaction_ar_returned,"","","","",            -1,             0,            50,no,            50,no
public.mercury_transaction_org_notes,"","","","",            -1,             3,            50,no,            50,no
public.notification_templates,"","","","",            -1,             0,            50,no,            50,no
public.pay_approved_masters,"","","","",            -1,             0,            50,no,            50,no
public.pay_stub_deductions,"","","","",            -1,             0,            50,no,            50,no
public.pay_stub_payments,"","","","",            -1,             2,            50,no,            50,no
public.people_labels,"","","","",            -1,             0,            50,no,            50,no
public.people_labor_job_items,"","","","",            -1,             6,            50,no,            50,no
public.people_labor_job_payments,"","","","",            -1,             0,            50,no,            50,no
public.people_labor_jobs,"","","","",            -1,             7,            50,no,            50,no
public.people_team_members,"","","","",            -1,            14,            50,no,            50,no
public.people_teams,"","","","",            -1,             9,            50,no,            50,no
public.person_contract_assignments,"","","","",            -1,             0,            50,no,            50,no
public.person_license_cost_lines,"","","","",            -1,             0,            50,no,            50,no
public.person_licenses,"","","","",            -1,             0,            50,no,            50,no
public.project_superintendents,"","","","",            -1,             0,            50,no,            50,no
public.prospect_callbacks,"","","","",            -1,             0,            50,no,            50,no
public.prospect_calling_locks,"","","","",            -1,             0,            50,no,            50,no
public.prospect_email_sent,"","","","",            -1,             0,            50,no,            50,no
public.push_subscriptions,"","","","",            -1,             0,            50,no,            50,no
public.quickfill_difficult_people_daily_checks,"","","","",            -1,             2,            50,no,            50,no
public.quickfill_difficult_people_items,"","","","",            -1,             1,            50,no,            50,no
public.quickfill_office_arriving_daily_checks,"","","","",            -1,             0,            50,no,            50,no
public.recurring_job_report_dispatch_log,"","","","",            -1,             0,            50,no,            50,no
public.recurring_job_report_schedule_recipients,"","","","",            -1,             0,            50,no,            50,no
public.recurring_job_report_schedules,"","","","",            -1,             0,            50,no,            50,no
public.report_enabled_users,"","","","",            -1,             0,            50,no,            50,no
public.report_template_fields,"","","","",            -1,             0,            50,no,            50,no
public.report_templates,"","","","",            -1,             0,            50,no,            50,no
public.salary_work_schedule_day_overrides,"","","","",            -1,             0,            50,no,            50,no
public.salary_work_schedule_templates,"","","","",            -1,             0,            50,no,            50,no
public.schedule_day_email_requests,"","","","",            -1,             0,            50,no,            50,no
public.step_subscriptions,"","","","",            -1,             0,            50,no,            50,no
public.stripe_oob_payment_reverts,"","","","",            -1,             0,            50,no,            50,no
public.supply_houses,"","","","",            -1,             0,            50,no,            50,no
public.takeoff_book_entries,"","","","",            -1,             0,            50,no,            50,no
public.takeoff_book_entry_items,"","","","",            -1,             0,            50,no,            50,no
public.team_feedback_peer_ratings,"","","","",            -1,             0,            50,no,            50,no
public.team_feedback_settings,"","","","",            -1,             0,            50,no,            50,no
public.team_feedback_submissions,"","","","",            -1,             0,            50,no,            50,no
public.team_leader_clock_notify_prefs,"","","","",            -1,             4,            50,no,            50,no
public.user_app_activity_viewers,"","","","",            -1,             0,            50,no,            50,no
public.user_checklist_item_mute_preferences,"","","","",            -1,             0,            50,no,            50,no
public.user_dashboard_buttons,"","","","",            -1,             0,            50,no,            50,no
public.user_dashboard_preferences,"","","","",            -1,             0,            50,no,            50,no
public.user_pinned_tabs,"","","","",            -1,             0,            50,no,            50,no
public.user_prospect_copy_templates,"","","","",            -1,             0,            50,no,            50,no
public.user_prospect_quick_notes,"","","","",            -1,             0,            50,no,            50,no
