name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.project_workflow_steps,56 kB,64 kB,120 kB,0,363
public.user_app_activity_daily,64 kB,56 kB,120 kB,313,0
public.jobs_ledger_payments,56 kB,64 kB,120 kB,2,0
public.material_templates,56 kB,64 kB,120 kB,0,84
public.price_book_entries,64 kB,48 kB,112 kB,0,6
public.bids_takeoff_rough_part_lines,48 kB,64 kB,112 kB,0,0
public.customers,64 kB,48 kB,112 kB,0,472
public.user_bid_notes_read_state,48 kB,56 kB,104 kB,274,0
public.people_crew_bids,48 kB,48 kB,96 kB,0,6
public.jobs_tally_parts,16 kB,80 kB,96 kB,0,7
public.assembly_types,16 kB,80 kB,96 kB,0,0
public.bids_submission_entries,64 kB,32 kB,96 kB,140,235
public.pay_stub_payments,48 kB,48 kB,96 kB,2,0
public.team_feedback_submissions,16 kB,80 kB,96 kB,0,0
public.prospect_timer_events,48 kB,48 kB,96 kB,0,0
public.team_feedback_peer_ratings,8192 bytes,88 kB,96 kB,0,0
public.inspections,16 kB,80 kB,96 kB,0,0
public.pay_stubs,48 kB,48 kB,96 kB,2,5
public.user_labels,40 kB,48 kB,88 kB,0,0
public.bids_takeoff_template_mappings,24 kB,64 kB,88 kB,0,0
public.dispatch_request_dismissals,48 kB,40 kB,88 kB,49,227
public.project_workflow_step_actions,32 kB,48 kB,80 kB,0,0
public.team_leader_assignments,16 kB,64 kB,80 kB,0,14500741
public.quickfill_section_mark_events,48 kB,32 kB,80 kB,1,0
public.material_po_generator_entries,16 kB,64 kB,80 kB,0,0
public.person_contract_assignments,16 kB,64 kB,80 kB,0,0
public.jobs_ledger_thread_notes,48 kB,32 kB,80 kB,0,0
public.service_types,16 kB,64 kB,80 kB,0,76680
public.app_settings,64 kB,16 kB,80 kB,0,103
public.job_collect_payment_flows,16 kB,64 kB,80 kB,0,0
public.dispatch_requests,64 kB,16 kB,80 kB,0,246
public.person_offsets,16 kB,64 kB,80 kB,0,0
public.project_workflows,48 kB,32 kB,80 kB,0,255
public.dispatch_request_notes,48 kB,32 kB,80 kB,1,0
public.checklist_tech_tree_group_tasks,48 kB,32 kB,80 kB,0,0
public.bid_working_board_columns,16 kB,64 kB,80 kB,3,0
public.supply_house_invoice_job_allocations,40 kB,32 kB,72 kB,0,1
public.vehicle_possessions,8192 bytes,64 kB,72 kB,0,0
public.checklist_tech_tree_edges,8192 bytes,64 kB,72 kB,0,0
public.housing_possessions,8192 bytes,64 kB,72 kB,0,0
public.bid_working_board_placements,40 kB,32 kB,72 kB,0,132
public.vehicle_replacement_value_entries,8192 bytes,64 kB,72 kB,0,0
public.checklist_items,56 kB,16 kB,72 kB,0,39
public.labor_book_entries,16 kB,48 kB,64 kB,0,0
public.external_team_job_payments,16 kB,48 kB,64 kB,0,0
public.person_licenses,16 kB,48 kB,64 kB,0,0
public.takeoff_book_versions,16 kB,48 kB,64 kB,0,99
public.takeoff_book_entries,16 kB,48 kB,64 kB,0,0
public.bids_gc_builders,16 kB,48 kB,64 kB,0,0
public.price_book_versions,16 kB,48 kB,64 kB,0,130
public.quickfill_section_marks,48 kB,16 kB,64 kB,0,7
public.job_book_entries,16 kB,48 kB,64 kB,0,0
public.email_templates,16 kB,48 kB,64 kB,0,0
public.hours_reviewed,16 kB,48 kB,64 kB,0,0
public.workflow_template_steps,48 kB,16 kB,64 kB,0,0
public.labor_book_versions,16 kB,48 kB,64 kB,0,93
public.estimate_catalog_item_events,16 kB,48 kB,64 kB,0,0
public.user_prospect_quick_notes,16 kB,48 kB,64 kB,0,0
public.prospect_callbacks,16 kB,48 kB,64 kB,0,0
public.mercury_tally_transaction_notes,16 kB,48 kB,64 kB,0,0
public.people_pay_config,48 kB,16 kB,64 kB,0,248
public.notification_templates,16 kB,48 kB,64 kB,0,0
public.recurring_job_report_schedules,16 kB,48 kB,64 kB,0,37
public.workflow_projections,16 kB,48 kB,64 kB,0,0
public.projects,16 kB,48 kB,64 kB,0,2935
public.stripe_oob_payment_reverts,16 kB,48 kB,64 kB,0,0
public.pay_stub_additional_lines,16 kB,48 kB,64 kB,0,13
public.customer_contacts,16 kB,48 kB,64 kB,1,0
public.labels,16 kB,48 kB,64 kB,0,0
public.recurring_job_report_schedule_recipients,16 kB,48 kB,64 kB,0,0
public.master_shares,8192 bytes,48 kB,56 kB,0,276
public.team_feedback_user_state,40 kB,16 kB,56 kB,0,0
public.project_superintendents,8192 bytes,48 kB,56 kB,0,0
public.master_primaries,8192 bytes,48 kB,56 kB,0,72
public.team_leader_clock_notify_prefs,8192 bytes,48 kB,56 kB,0,0
public.pay_stub_deductions,16 kB,40 kB,56 kB,0,0
public.user_daily_goals_ack,40 kB,16 kB,56 kB,1,0
public.checklist_item_assignees,40 kB,16 kB,56 kB,0,0
public.master_superintendents,8192 bytes,48 kB,56 kB,0,109
public.recurring_job_report_dispatch_log,8192 bytes,48 kB,56 kB,0,0
public.master_assistants,8192 bytes,48 kB,56 kB,0,10751
public.report_template_fields,16 kB,32 kB,48 kB,0,0
public.takeoff_book_entry_items,16 kB,32 kB,48 kB,0,0
public.jobs_ledger_materials,16 kB,32 kB,48 kB,0,0
public.estimate_customer_events,16 kB,32 kB,48 kB,0,0
public.counts_fixture_groups,16 kB,32 kB,48 kB,0,0
public.customer_contact_persons,16 kB,32 kB,48 kB,0,129
public.jobs_receivables,16 kB,32 kB,48 kB,0,0
public.report_templates,16 kB,32 kB,48 kB,0,0
public.checklist_tech_tree_roadmap_members,16 kB,32 kB,48 kB,0,0
public.supply_houses,16 kB,32 kB,48 kB,0,0
public.people,16 kB,32 kB,48 kB,0,6119
public.people_labor_job_items,16 kB,32 kB,48 kB,0,0
public.people_labor_job_payments,16 kB,32 kB,48 kB,0,0
public.checklist_tech_tree_groups,16 kB,32 kB,48 kB,0,0
public.user_time_off,16 kB,32 kB,48 kB,1,0
public.push_subscriptions,16 kB,32 kB,48 kB,0,18
public.jobs_ledger_invoice_stripe_email_sends,16 kB,32 kB,48 kB,0,0
public.people_team_members,16 kB,32 kB,48 kB,0,0
public.inspection_quick_links,16 kB,32 kB,48 kB,0,0
public.attendance_incidents,16 kB,32 kB,48 kB,0,0
public.users,16 kB,32 kB,48 kB,0,10904493
public.user_dashboard_goals,16 kB,32 kB,48 kB,0,491
public.user_pinned_tabs,16 kB,32 kB,48 kB,0,0
public.estimator_request_notes,16 kB,32 kB,48 kB,0,0
public.people_labor_jobs,16 kB,32 kB,48 kB,0,327
public.housing_units,16 kB,32 kB,48 kB,0,0
public.counts_fixture_group_items,16 kB,32 kB,48 kB,0,0
public.estimate_catalog_items,16 kB,32 kB,48 kB,0,0
public.contract_templates,16 kB,32 kB,48 kB,0,0
public.inspection_types,16 kB,32 kB,48 kB,0,0
public.person_license_cost_lines,16 kB,32 kB,48 kB,0,0
public.vehicles,16 kB,32 kB,48 kB,0,0
public.step_subscriptions,8192 bytes,32 kB,40 kB,0,0
public.mercury_transaction_ar_returned,8192 bytes,32 kB,40 kB,0,9
public.writeups,8192 bytes,32 kB,40 kB,0,0
public.common_jobs,8192 bytes,32 kB,40 kB,0,0
public.mercury_debit_card_user_links,8192 bytes,32 kB,40 kB,0,0
public.pay_approved_masters,8192 bytes,32 kB,40 kB,0,159
public.report_reads,8192 bytes,32 kB,40 kB,0,386
public.user_tag_org,8192 bytes,32 kB,40 kB,0,0
public.hours_days_correct,8192 bytes,32 kB,40 kB,0,832
public.workflow_templates,16 kB,16 kB,32 kB,0,0
public.user_prospect_copy_templates,16 kB,16 kB,32 kB,0,0
public.estimator_requests,16 kB,16 kB,32 kB,0,246
public.mercury_debit_card_nicknames,16 kB,16 kB,32 kB,0,15
public.vehicle_odometer_entries,0 bytes,32 kB,32 kB,0,0
public.user_dashboard_preferences,16 kB,16 kB,32 kB,0,0
public.mercury_account_nicknames,16 kB,16 kB,32 kB,0,14
public.prospect_email_sent,16 kB,16 kB,32 kB,0,0
public.fixture_labor_defaults,16 kB,16 kB,32 kB,0,57
public.people_teams,16 kB,16 kB,32 kB,0,0
public.people_cost_matrix_tags,16 kB,16 kB,32 kB,0,0
public.checklist_tech_tree_roadmaps,16 kB,16 kB,32 kB,0,0
public.people_hours_display_order,16 kB,16 kB,32 kB,0,228
public.team_feedback_settings,16 kB,16 kB,32 kB,0,0
public.user_dashboard_buttons,16 kB,16 kB,32 kB,0,0
public.salary_work_schedule_templates,16 kB,16 kB,32 kB,0,1252
public.people_labels,0 bytes,24 kB,24 kB,0,0
public.user_report_notification_preferences,0 bytes,24 kB,24 kB,0,0
public.dev_read_completed_items,8192 bytes,16 kB,24 kB,0,0
public.user_app_activity_viewers,8192 bytes,16 kB,24 kB,0,0
public.estimator_group_members,8192 bytes,16 kB,24 kB,0,103
public.checklist_tech_tree_task_assignees,8192 bytes,16 kB,24 kB,0,0
public.salary_work_schedule_day_overrides,8192 bytes,16 kB,24 kB,0,24
public.dev_ignored_checklist_items,8192 bytes,16 kB,24 kB,0,0
public.estimates_thread_notes,8192 bytes,16 kB,24 kB,0,0
public.report_enabled_users,8192 bytes,16 kB,24 kB,0,103
public.writeup_templates,8192 bytes,16 kB,24 kB,0,0
public.dispatch_group_members,8192 bytes,16 kB,24 kB,0,103
public.estimator_request_dismissals,8192 bytes,16 kB,24 kB,0,0
public.cost_matrix_teams_shares,8192 bytes,16 kB,24 kB,0,0
public.prospect_calling_locks,0 bytes,16 kB,16 kB,0,0
public.cost_matrix_tag_colors,8192 bytes,8192 bytes,16 kB,0,0
public.workflow_step_dependencies,0 bytes,8192 bytes,8192 bytes,0,0
public.external_team_sub_managers,0 bytes,8192 bytes,8192 bytes,0,0
public.user_checklist_item_mute_preferences,0 bytes,8192 bytes,8192 bytes,0,0
