name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.labels,16 kB,48 kB,64 kB,0,0
public.customer_contacts,16 kB,48 kB,64 kB,0,0
public.master_superintendents,8192 bytes,48 kB,56 kB,0,38
public.user_daily_goals_ack,40 kB,16 kB,56 kB,0,0
public.checklist_item_assignees,40 kB,16 kB,56 kB,0,0
public.team_leader_clock_notify_prefs,8192 bytes,48 kB,56 kB,0,0
public.team_feedback_user_state,40 kB,16 kB,56 kB,0,0
public.pay_stub_deductions,16 kB,40 kB,56 kB,0,0
public.master_primaries,8192 bytes,48 kB,56 kB,0,1
public.master_shares,8192 bytes,48 kB,56 kB,0,1
public.project_superintendents,8192 bytes,48 kB,56 kB,0,0
public.master_assistants,8192 bytes,48 kB,56 kB,0,622
public.estimate_customer_events,16 kB,32 kB,48 kB,0,0
public.checklist_tech_tree_roadmap_members,16 kB,32 kB,48 kB,0,0
public.people_labor_jobs,16 kB,32 kB,48 kB,0,2
public.jobs_ledger_invoice_stripe_email_sends,16 kB,32 kB,48 kB,0,0
public.checklist_tech_tree_groups,16 kB,32 kB,48 kB,0,0
public.housing_units,16 kB,32 kB,48 kB,0,0
public.user_dashboard_goals,16 kB,32 kB,48 kB,0,2
public.report_templates,16 kB,32 kB,48 kB,0,1
public.jobs_receivables,16 kB,32 kB,48 kB,0,1
public.customer_contact_persons,16 kB,32 kB,48 kB,0,5
public.report_template_fields,16 kB,32 kB,48 kB,0,1
public.estimate_catalog_items,16 kB,32 kB,48 kB,0,0
public.counts_fixture_group_items,16 kB,32 kB,48 kB,0,1
public.takeoff_book_entry_items,16 kB,32 kB,48 kB,0,0
public.jobs_ledger_materials,16 kB,32 kB,48 kB,0,1
public.people_team_members,16 kB,32 kB,48 kB,0,1
public.inspection_quick_links,16 kB,32 kB,48 kB,0,0
public.counts_fixture_groups,16 kB,32 kB,48 kB,0,1
public.inspection_types,16 kB,32 kB,48 kB,0,0
public.vehicles,16 kB,32 kB,48 kB,0,0
public.attendance_incidents,16 kB,32 kB,48 kB,0,0
public.person_license_cost_lines,16 kB,32 kB,48 kB,0,0
public.user_pinned_tabs,16 kB,32 kB,48 kB,0,0
public.estimator_request_notes,16 kB,32 kB,48 kB,0,0
public.supply_houses,16 kB,32 kB,48 kB,0,1
public.people_labor_job_payments,16 kB,32 kB,48 kB,0,0
public.user_time_off,16 kB,32 kB,48 kB,0,0
public.people_labor_job_items,16 kB,32 kB,48 kB,0,1
public.push_subscriptions,16 kB,32 kB,48 kB,0,0
public.users,16 kB,32 kB,48 kB,0,256032
public.people,16 kB,32 kB,48 kB,0,33
public.contract_templates,16 kB,32 kB,48 kB,0,0
public.step_subscriptions,8192 bytes,32 kB,40 kB,0,0
public.mercury_debit_card_user_links,8192 bytes,32 kB,40 kB,0,0
public.report_reads,8192 bytes,32 kB,40 kB,0,0
public.pay_approved_masters,8192 bytes,32 kB,40 kB,0,3
